Year,Year ending,Local Government Area,Postcode,Suburb/Town Name,Offence Division,Offence Subdivision,Offence Subgroup,Offence Count
2023,June,Melbourne,3000,Carlton,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,1
2023,June,Melbourne,3000,Carlton,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,1
2023,June,Melbourne,3000,Carlton,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,1
2023,June,Melbourne,3000,Carlton,B Property and deception offences,B20 Property damage,B21 Criminal damage,3
2023,June,Melbourne,3000,Carlton,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,1
2023,June,Melbourne,3000,Carlton,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,1
2023,June,Melbourne,3000,Carlton,B Property and deception offences,B40 Theft,B43 Steal from a retail store,5
2023,June,Melbourne,3000,Carlton,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,2
2023,June,Melbourne,3000,Carlton,B Property and deception offences,B40 Theft,B49 Other theft,1
2023,June,Melbourne,3000,Carlton,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,1
2023,June,Melbourne,3000,Carlton,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,1
2023,June,Melbourne,3000,Carlton,C Drug offences,C30 Drug use and possession,C32 Drug possession,1
2023,June,Melbourne,3000,Carlton,D Public order and security offences,D20 Disorderly and offensive conduct,D23 Offensive conduct,1
2023,June,Melbourne,3000,Carlton,E Justice procedures offences,E10 Justice procedures,E13 Resist or hinder officer,1
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,70
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,449
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",116
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,161
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,969
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,164
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,42
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,14
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,40
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,9
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,17
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,27
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,80
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,7
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,46
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,44
2023,June,Melbourne,3000,Melbourne,A Crimes against the person,Other crimes against the person,Other crimes against the person,356
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B10 Arson,B11 Cause damage by fire,25
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B10 Arson,B19 Other fire related offences,9
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B20 Property damage,B21 Criminal damage,732
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B20 Property damage,B22 Graffiti,151
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B20 Property damage,B29 Other property damage offences,17
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,18
2023,June,Melbourne,3000,Melbourne,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,13
