geography,year,topic,category,sub_category,value_description,value
Carlton,2011,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,816.0
Carlton,2011,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,5623.0
Carlton,2011,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,1276.0
Docklands,2011,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,3532.0
Docklands,2011,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,548.0
East Melbourne,2011,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,2869.0
Greater Melbourne,2011,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,596212.0
Greater Melbourne,2011,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,825407.0
Kensington,2011,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,1197.0
Kensington,2011,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,5831.0
Kensington,2011,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,1180.0
City of Melbourne,2011,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,10221.0
Parkville,2011,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,2083.0
South Yarra (inc. Melbourne Remainder),2011,Residents: Age and gender,Age - key groups,Youth (12-25 years),Count of persons,1069.0
Southbank,2011,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,6668.0
Southbank,2011,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,982.0
West Melbourne (Residential),2011,Residents: Age and gender,Age - key groups,Adult (26-59 years),Count of persons,2271.0
Carlton,2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,858.0
Carlton,2016,Residents: Age and gender,Age - key groups,Older (60 years and over),Count of persons,1556.0
Docklands,2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,695.0
Docklands,2016,Residents: Age and gender,Age - key groups,Youth (12-25 years),Count of persons,2511.0
East Melbourne,2016,Residents: Age and gender,Age - key groups,Children (0-11 years),Count of persons,184.0
