F10,F11,F2,F3,F4,F5,F6,F7,F8,Current Victorian Liquor Licences for Metro & CBD as of 31/12/2020,F9
PORT PHILLIP CITY COUNCIL,C/O MELBOURNE CRICKET CLUB,BYO Permit,MELBOURNE LACROSSE CLUB,ALBERT GROUND QUEENS ROAD,MELBOURNE,3004,REBECCA HARVEY - EXECUTIVE MANAGER                 HOSPITALITY PO BOX 175,EAST MELBOURNE,31114276,8002
MELBOURNE CITY COUNCIL,SUI WAN CHAN,BYO Permit,NAM LOONG RESTAURANT,223 RUSSELL ST,MELBOURNE,3000,223 RUSSELL ST,MELBOURNE,31227574,3000
MELBOURNE CITY COUNCIL,AGNIHOTRI GAUTAM,BYO Permit,CLASSIC CURRY COMPANY,597 ELIZABETH STREET,MELBOURNE,3000,597 ELIZABETH STREET,MELBOURNE,31279733,3000
MELBOURNE CITY COUNCIL,MAMAK PTY LTD,BYO Permit,MAMAK,366 LONSDALE STREET,MELBOURNE,3000,366 LONSDALE STREET,MELBOURNE,31280792,3000
MELBOURNE CITY COUNCIL,T & D RISE PTY LTD,BYO Permit,SHANGHAI DRAGON DUMPLING RESTAURANT,163 RUSSELL STREET,MELBOURNE,3000,163 RUSSELL STREET,MELBOURNE,31280962,3000
MELBOURNE CITY COUNCIL,PHO DZUNG TAN DINH CITY PTY LTD,BYO Permit,PHO DZUNG TAN DINH CITY,234B RUSSELL STREET,MELBOURNE,3000,234B RUSSELL STREET,MELBOURNE,31283774,3000
MELBOURNE CITY COUNCIL,FRESHFIELDS NOMINEES PTY LTD,Late night (on-premises) Licence,THE ELEPHANT AND WHEELBARROW,94-96 BOURKE STREET,MELBOURNE,3000,"LEVEL 3, 410 LONSDALE STREET",MELBOURNE,31820039,3000
MELBOURNE CITY COUNCIL,BAR RINO PTY LTD,On-Premises Licence,BAR RINO,367 LITTLE BOURKE STREET,MELBOURNE,3000,361 LITTLE BOURKE STREET,MELBOURNE,31820110,3000
MELBOURNE CITY COUNCIL,SDADM PTY LTD,Late night (on-premises) Licence,BAR CARLO,20 MEYERS PLACE,MELBOURNE,3000,20 MEYERS PLACE,MELBOURNE,31820128,3000
MELBOURNE CITY COUNCIL,RED HUMMINGBIRD GROUP PTY LTD,Late night (on-premises) Licence,CLUB JANKARA,2ND FLOOR                                          59 BOURKE STREET,MELBOURNE,3000,PO BOX 125,BRUNSWICK WEST,31820209,3055
MELBOURNE CITY COUNCIL,SALECO PTY LTD,On-Premises Licence,IL SOLITO POSTO,SHOP 4                                             113 COLLINS STREET,MELBOURNE,3000,SHOP 4                                             113 COLLINS STREET,MELBOURNE,31820259,3000
MELBOURNE CITY COUNCIL,MELBOURNE HOSPITALITY GROUP PTY LTD,Late night (on-premises) Licence,SPEARMINT RHINO GENTLEMEN'S CLUB,14-20 KING STREET,MELBOURNE,3000,14-20 KING STREET,MELBOURNE,31820291,3000
MELBOURNE CITY COUNCIL,STARS ENTERTAINMENT AUST PTY LTD,Late night (on-premises) Licence,STARS KTV & LOUNGE,1ST-4TH FLOORS                                     186 BOURKE STREET,MELBOURNE,3000,1ST-4TH FLOORS                                     186 BOURKE STREET,MELBOURNE,31820306,3000
MELBOURNE CITY COUNCIL,THE FIDDLER PUB PTY LTD,Late night (on-premises) Licence,THE BOTTOM END PUB.DINER.DISCO.,BASEMENT AND GROUND FLOOR                          577 LITTLE COLLINS STREET,MELBOURNE,3000,577 LITTLE COLLINS STREET,MELBOURNE,31820322,3000
MELBOURNE CITY COUNCIL,PUNCH LANE PARTNERSHIP PTY LTD,Late night (on-premises) Licence,PUNCH LANE WINE BAR RESTAURANT,UNIT 6                                             43 LITTLE BOURKE STREET,MELBOURNE,3000,UNIT 6                                             43 LITTLE BOURKE STREET,MELBOURNE,31820348,3000
MELBOURNE CITY COUNCIL,THE CHENS PTY LTD,Late night (on-premises) Licence,THE CHENS PTY LTD,1ST FLOOR                                          217 RUSSELL STREET,MELBOURNE,3000,1ST FLOOR                                          217 RUSSELL STREET,MELBOURNE,31820445,3000
MELBOURNE CITY COUNCIL,LURAWEST PTY LTD,Late night (on-premises) Licence,ISLAND SOMEWHERE,213 FRANKLIN STREET,MELBOURNE,3000,"LEVEL 3 NORTH,                                     333 COLLINS STREET,",MELBOURNE,31820631,3000
MELBOURNE CITY COUNCIL,SEAMSTRESS HOLDINGS PTY LTD,On-Premises Licence,SEAMSTRESS RESTAURANT AND BAR,113 LONSDALE STREET,MELBOURNE,3000,113 LONSDALE STREET,MELBOURNE,31820649,3000
PORT PHILLIP CITY COUNCIL,ESTELLA HOUSE PTY LTD,On-Premises Licence,ESTELLA HOUSE,462 ST KILDA ROAD,MELBOURNE,3004,PO BOX 609,EAST MELBOURNE,31820720,8002
MELBOURNE CITY COUNCIL,41 BOURKE PTY LTD,Late night (on-premises) Licence,SPLEEN CENTRAL,41 BOURKE STREET,MELBOURNE,3000,41 BOURKE STREET,MELBOURNE CBD,31820754,3000
MELBOURNE CITY COUNCIL,HAMMINGTON PTY LTD,Late night (on-premises) Licence,HIGHLANDER BAR,11A HIGHLANDER LANE,MELBOURNE,3000,11A HIGHLANDER LANE,MELBOURNE,31820827,3000
MELBOURNE CITY COUNCIL,DEGRAVES ESPRESSO PTY LTD,On-Premises Licence,DEGRAVES ESPRESSO,23-25 DEGRAVES STREET,MELBOURNE,3000,23-25 DEGRAVES STREET,MELBOURNE,31821043,3000
MELBOURNE CITY COUNCIL,2K INVESTMENTS PTY LTD,Late night (on-premises) Licence,SKY LOUNGE KTV,FIRST FLOOR                                        163 RUSSELL STREET,MELBOURNE,3000,FIRST FLOOR                                        163 RUSSELL STREET,MELBOURNE,31821116,3000
