Asset Clas,Asset Subt,Asset Type,Descriptio,Geo Point 2D,Geo Shape,Mcc Id,Model Desc,Model No,Objectid,Prop Id,Roadseg Id,Str Id,Addressp 1,Addresspt,Addresspt1
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.81842481335676, 144.96889648633675","{""coordinates"": [144.96889648633675, -37.81842481335676], ""type"": ""Point""}",1249454,Sign - Public Transport 1 Panel,P.16,749,573333,0,1249454,288,606816,29.1490529
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.81767597164006, 144.95888238475013","{""coordinates"": [144.95888238475013, -37.81767597164006], ""type"": ""Point""}",1247042,Sign - Public Transport 1 Panel,P.16,2098,0,20118,1247042,105,507646,10.53790207
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.78188915501449, 144.95963193312105","{""coordinates"": [144.95963193312105, -37.78188915501449], ""type"": ""Point""}",1252383,Sign - Public Transport 1 Panel,P.16,2143,0,22387,1252383,212,108510,25.26964339
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.793726533289785, 144.94716743007305","{""coordinates"": [144.94716743007305, -37.793726533289785], ""type"": ""Point""}",1249788,Sign - Public Transport 1 Panel,P.16,2627,0,20919,1249788,237,100087,44.2305064
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 13,"-37.80286165064241, 144.92778487963457","{""coordinates"": [144.92778487963457, -37.80286165064241], ""type"": ""Point""}",1235311,Sign - Public Transport 1 Panel,P.16,3306,0,21680,1235311,360,103002,67.71855285
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.825617941052066, 144.96024538933693","{""coordinates"": [144.96024538933693, -37.825617941052066], ""type"": ""Point""}",1239919,Sign - Public Transport 1 Panel,P.16,3416,0,22042,1239919,81,108053,27.9777498
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.82825403073943, 144.97139535783998","{""coordinates"": [144.97139535783998, -37.82825403073943], ""type"": ""Point""}",1239032,Sign - Public Transport 1 Panel,P.16,4934,0,22704,1239032,0,0,0
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.81810589679171, 144.9619763819388","{""coordinates"": [144.9619763819388, -37.81810589679171], ""type"": ""Point""}",1245405,Sign - Public Transport 1 Panel,P.16,5041,0,20170,1245405,331,527935,42.39381829
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.847587034180215, 144.9797183050512","{""coordinates"": [144.9797183050512, -37.847587034180215], ""type"": ""Point""}",1255275,Sign - Public Transport 1 Panel,P.16,5193,0,22477,1255275,73,632373,49.22846917
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.82375108048519, 144.96722832469055","{""coordinates"": [144.96722832469055, -37.82375108048519], ""type"": ""Point""}",1239562,Sign - Public Transport 1 Panel,P.16,5935,0,22121,1239562,231,567779,24.45502112
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.78077459328419, 144.95138857277198","{""coordinates"": [144.95138857277198, -37.78077459328419], ""type"": ""Point""}",1244570,Sign - Public Transport 1 Panel,P.16,7176,107426,0,1244570,306,111342,55.8251505
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.811942864580594, 144.95642939829426","{""coordinates"": [144.95642939829426, -37.811942864580594], ""type"": ""Point""}",1237106,Sign - Public Transport 1 Panel,P.16,7511,0,20187,1237106,26,110759,20.7363648
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.82793320904311, 144.90887617925307","{""coordinates"": [144.90887617925307, -37.82793320904311], ""type"": ""Point""}",1370841,Sign - Public Transport 1 Panel,P.16,7599,0,22170,1370841,100,586084,36.91007002
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.8308611221107, 144.98773132067197","{""coordinates"": [144.98773132067197, -37.8308611221107], ""type"": ""Point""}",1248838,Sign - Public Transport 1 Panel,P.16,7976,0,22270,1248838,164,111334,18.44609056
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.80945090290274, 144.95544640306295","{""coordinates"": [144.95544640306295, -37.80945090290274], ""type"": ""Point""}",1238690,Sign - Public Transport 1 Panel,P.16,8096,0,21528,1238690,72,580931,55.72755559
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.79564672738665, 144.92489593979033","{""coordinates"": [144.92489593979033, -37.79564672738665], ""type"": ""Point""}",1235519,Sign - Public Transport 1 Panel,P.16,8935,0,21749,1235519,204,568579,10.9475722
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.82725097105045, 144.95787041193037","{""coordinates"": [144.95787041193037, -37.82725097105045], ""type"": ""Point""}",1232670,Sign - Public Transport 1 Panel,P.16,9970,0,22016,1232670,357,664059,37.24941515
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.805396239323905, 144.9520285962586","{""coordinates"": [144.9520285962586, -37.805396239323905], ""type"": ""Point""}",1257205,Sign - Public Transport 1 Panel,P.16,11093,0,20979,1257205,93,533907,11.15153124
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 5,"-37.79905748382394, 144.93989360176752","{""coordinates"": [144.93989360176752, -37.79905748382394], ""type"": ""Point""}",1234690,Sign - Public Transport 1 Panel,P.16,11651,0,21297,1234690,138,104492,89.61471514
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.790425430580804, 144.94352558479113","{""coordinates"": [144.94352558479113, -37.790425430580804], ""type"": ""Point""}",1234310,Sign - Public Transport 1 Panel,P.16,12044,0,22425,1234310,68,525732,30.53653951
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.79085700678597, 144.92008961006658","{""coordinates"": [144.92008961006658, -37.79085700678597], ""type"": ""Point""}",1370761,Sign - Public Transport 1 Panel,P.16,12481,0,22790,1370761,284,106847,67.5880428
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 1,"-37.800456485496696, 144.96510004696515","{""coordinates"": [144.96510004696515, -37.800456485496696], ""type"": ""Point""}",1575501,Sign - Public Transport 1 Panel,P.16,12890,0,22506,1575501,292,597172,28.06452572
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.790034182492505, 144.95863808667602","{""coordinates"": [144.95863808667602, -37.790034182492505], ""type"": ""Point""}",1252413,Sign - Public Transport 1 Panel,P.16,13187,0,22374,1252413,175,529024,21.00980919
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.841136944254906, 144.97738137656336","{""coordinates"": [144.97738137656336, -37.841136944254906], ""type"": ""Point""}",1255117,Sign - Public Transport 1 Panel,P.16,13233,0,22474,1255117,82,545615,60.55753669
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.84881806234022, 144.98441939922859","{""coordinates"": [144.98441939922859, -37.84881806234022], ""type"": ""Point""}",1255236,Sign - Public Transport 1 Panel,P.16,13548,0,22480,1255236,0,0,0
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.82961907563178, 144.96406241965494","{""coordinates"": [144.96406241965494, -37.82961907563178], ""type"": ""Point""}",1239189,Sign - Public Transport 1 Panel,P.16,13942,0,22459,1239189,115,537240,73.04996609
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 13,"-37.802508730068354, 144.92456498204757","{""coordinates"": [144.92456498204757, -37.802508730068354], ""type"": ""Point""}",1235307,Sign - Public Transport 1 Panel,P.16,13987,0,21680,1235307,162,110970,35.14735701
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 8,"-37.79262854511814, 144.9682820983283","{""coordinates"": [144.9682820983283, -37.79262854511814], ""type"": ""Point""}",1247820,Sign - Public Transport 1 Panel,P.16,14196,0,20540,1247820,348,555950,19.15980501
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 11,"-37.80231431723276, 144.96676746744464","{""coordinates"": [144.96676746744464, -37.80231431723276], ""type"": ""Point""}",1260438,Sign - Public Transport 1 Panel,P.16,14622,0,20528,1260438,360,627281,5.70821032
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 12,"-37.8006162471606, 144.9665441831767","{""coordinates"": [144.9665441831767, -37.8006162471606], ""type"": ""Point""}",1233165,Sign - Public Transport 1 Panel,P.16,15525,0,20757,1233165,140,545460,11.23104145
Signage,,Sign - Public Transport,Sign - Public Transport 1 Panel Bus Stop Type 3,"-37.82069471465366, 144.92473362878667","{""coordinates"": [144.92473362878667, -37.82069471465366], ""type"": ""Point""}",1245209,Sign - Public Transport 1 Panel,P.16,15587,0,22156,1245209,51,637267,9.08151028
