Age,Gender,Geography,Year,Value
Age 0-4,Female,City of Melbourne,2021,1943
Age 0-4,Female,City of Melbourne,2023,2477
Age 0-4,Female,City of Melbourne,2026,3595
Age 0-4,Female,City of Melbourne,2028,4083
Age 0-4,Female,City of Melbourne,2034,5242
Age 0-4,Female,City of Melbourne,2037,5521
Age 0-4,Female,City of Melbourne,2038,5608
Age 0-4,Male,City of Melbourne,2021,2107
Age 0-4,Male,City of Melbourne,2024,3056
Age 0-4,Male,City of Melbourne,2025,3477
Age 0-4,Male,City of Melbourne,2038,6082
Age 0-4,Male,City of Melbourne,2040,6253
Age 5-9,Female,City of Melbourne,2021,1440
Age 5-9,Female,City of Melbourne,2023,1384
Age 5-9,Female,City of Melbourne,2026,1595
Age 5-9,Female,City of Melbourne,2031,3314
Age 5-9,Female,City of Melbourne,2033,3722
Age 5-9,Female,City of Melbourne,2040,4787
Age 5-9,Male,City of Melbourne,2022,1381
Age 5-9,Male,City of Melbourne,2023,1362
Age 5-9,Male,City of Melbourne,2025,1456
Age 5-9,Male,City of Melbourne,2032,3473
Age 5-9,Male,City of Melbourne,2036,4211
Age 5-9,Male,City of Melbourne,2038,4516
Age 10-14,Female,City of Melbourne,2028,977
Age 10-14,Female,City of Melbourne,2031,1113
Age 10-14,Female,City of Melbourne,2034,2021
Age 10-14,Female,City of Melbourne,2040,3347
Age 10-14,Female,City of Melbourne,2041,3504
Age 10-14,Male,City of Melbourne,2025,1038
Age 10-14,Male,City of Melbourne,2026,1074
Age 10-14,Male,City of Melbourne,2027,1036
Age 10-14,Male,City of Melbourne,2038,3167
Age 15-19,Female,City of Melbourne,2021,4245
Age 15-19,Female,City of Melbourne,2026,5518
Age 15-19,Female,City of Melbourne,2029,5754
Age 15-19,Female,City of Melbourne,2037,6414
Age 15-19,Female,City of Melbourne,2038,6782
Age 15-19,Female,City of Melbourne,2039,7155
Age 15-19,Male,City of Melbourne,2024,3737
Age 15-19,Male,City of Melbourne,2031,5208
Age 15-19,Male,City of Melbourne,2032,5194
Age 15-19,Male,City of Melbourne,2035,5312
Age 15-19,Male,City of Melbourne,2040,6736
Age 20-24,Female,City of Melbourne,2029,20304
Age 20-24,Female,City of Melbourne,2038,21533
Age 20-24,Female,City of Melbourne,2040,21716
Age 20-24,Male,City of Melbourne,2021,15793
Age 20-24,Male,City of Melbourne,2025,14869
Age 20-24,Male,City of Melbourne,2028,17433
Age 20-24,Male,City of Melbourne,2034,19573
Age 20-24,Male,City of Melbourne,2035,19560
Age 20-24,Male,City of Melbourne,2040,19777
Age 25-29,Female,City of Melbourne,2021,17389
Age 25-29,Female,City of Melbourne,2023,16555
Age 25-29,Female,City of Melbourne,2024,16572
Age 25-29,Female,City of Melbourne,2026,18586
Age 25-29,Female,City of Melbourne,2030,20709
Age 25-29,Female,City of Melbourne,2034,22721
Age 25-29,Female,City of Melbourne,2038,22593
Age 25-29,Male,City of Melbourne,2021,16479
Age 25-29,Male,City of Melbourne,2022,16051
Age 25-29,Male,City of Melbourne,2023,15688
Age 25-29,Male,City of Melbourne,2031,19420
Age 25-29,Male,City of Melbourne,2034,21532
Age 25-29,Male,City of Melbourne,2035,21952
Age 25-29,Male,City of Melbourne,2037,21710
Age 25-29,Male,City of Melbourne,2040,20886
Age 30-34,Female,City of Melbourne,2022,11381
Age 30-34,Female,City of Melbourne,2027,15379
Age 30-34,Female,City of Melbourne,2028,15606
Age 30-34,Female,City of Melbourne,2030,15812
Age 30-34,Female,City of Melbourne,2031,16612
Age 30-34,Female,City of Melbourne,2039,17825
Age 30-34,Male,City of Melbourne,2021,10829
Age 30-34,Male,City of Melbourne,2022,11564
Age 30-34,Male,City of Melbourne,2024,13433
Age 30-34,Male,City of Melbourne,2031,16878
Age 30-34,Male,City of Melbourne,2032,17558
Age 30-34,Male,City of Melbourne,2033,17693
Age 30-34,Male,City of Melbourne,2034,17603
Age 30-34,Male,City of Melbourne,2041,18061
Age 35-39,Female,City of Melbourne,2022,6551
Age 35-39,Female,City of Melbourne,2029,12013
Age 35-39,Female,City of Melbourne,2034,13100
Age 35-39,Female,City of Melbourne,2038,14176
Age 35-39,Male,City of Melbourne,2024,8797
Age 35-39,Male,City of Melbourne,2026,10368
Age 35-39,Male,City of Melbourne,2031,15092
Age 35-39,Male,City of Melbourne,2036,15258
Age 35-39,Male,City of Melbourne,2037,15790
Age 40-44,Female,City of Melbourne,2021,3338
Age 40-44,Female,City of Melbourne,2023,4095
Age 40-44,Female,City of Melbourne,2031,9388
Age 40-44,Female,City of Melbourne,2035,12605
Age 40-44,Female,City of Melbourne,2036,13226
Age 40-44,Female,City of Melbourne,2039,12619
Age 40-44,Male,City of Melbourne,2023,4627
Age 40-44,Male,City of Melbourne,2024,5214
Age 40-44,Male,City of Melbourne,2027,7665
Age 40-44,Male,City of Melbourne,2028,8425
Age 40-44,Male,City of Melbourne,2033,12343
Age 40-44,Male,City of Melbourne,2035,14243
Age 40-44,Male,City of Melbourne,2037,14616
Age 40-44,Male,City of Melbourne,2039,14260
Age 45-49,Female,City of Melbourne,2022,3009
