Block Id,Census Year,Clue Small Area,Commercial Accommodation,Common Area,Community Use,Educational Research,Entertainment Recreation Indoor,Equipment Installation,Hospital Clinic,House Townhouse,Institutional Accommodation,Manufacturing,Office,Park Reserve,Parking Commercial Covered,Parking Commercial Uncovered,Parking Private Covered,Parking Private Uncovered,Performances Conferences Ceremonies,Private Outdoor Space,Public Display Area,Residential Apartment,Retail Cars,Retail Shop,Retail Showroom,Retail Stall,Sports And Recreation Outdoor,Square Promenade,Storage,Student Accommodation,Total Jobs In Block,Transport,Transport Storage Uncovered,Unoccupied Under Construction,Unoccupied Under Demolition Condemned,Unoccupied Under Renovation,Unoccupied Undeveloped Site,Unoccupied Unused,Wholesale,Workshop Studio
5,2021,Melbourne (CBD),0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0
13,2021,Melbourne (CBD),,0,0,,21,0,0,0,0,0,2254,0,,0,0,0,0,0,,,0,6,0,0,0,0,,0,2333,0,0,0,0,,0,0,0,0
14,2021,Melbourne (CBD),113,0,0,445,376,0,13,0,0,0,1068,0,0,0,0,0,0,0,0,0,0,91,0,,0,0,0,0,2121,0,0,0,0,,0,0,0,
15,2021,Melbourne (CBD),37,0,,332,416,0,19,0,0,0,718,0,0,0,0,0,,0,0,0,0,458,0,0,0,0,3,,2139,0,0,,0,,0,0,0,74
16,2021,Melbourne (CBD),,0,0,,188,0,,0,0,0,361,,,0,,,,0,0,0,0,61,,0,0,0,,0,821,0,0,0,0,0,0,0,0,
22,2021,Melbourne (CBD),,0,,,309,0,0,0,0,0,8405,0,2,0,,0,,0,0,0,0,36,,0,0,0,0,0,8932,0,0,0,0,0,0,0,0,
26,2021,Melbourne (CBD),,0,0,0,206,0,45,0,0,0,3437,0,,0,0,0,,0,0,,0,92,,,0,0,0,0,4000,0,0,0,0,0,0,0,0,0
27,2021,Melbourne (CBD),333,0,,,273,0,41,0,0,0,5291,0,,0,0,,,0,0,,0,193,,0,0,0,0,0,6279,0,0,0,0,,0,0,0,
32,2021,Melbourne (CBD),,0,0,0,71,0,25,0,0,0,6397,0,0,0,0,0,,0,0,0,0,55,0,0,0,0,0,0,6585,0,0,0,0,0,0,0,0,0
41,2021,Melbourne (CBD),,0,0,0,83,,0,0,0,0,1809,0,0,0,0,,15,0,0,,0,23,0,0,0,0,,0,1988,0,0,0,0,0,0,0,0,0
42,2021,Melbourne (CBD),0,0,0,119,98,0,29,0,,0,4446,0,,0,0,0,0,0,0,0,0,98,0,,0,0,,0,4795,0,0,,0,,0,0,0,
44,2021,Melbourne (CBD),0,0,0,,105,0,23,0,0,0,3410,0,,0,,0,,0,0,0,0,218,,0,0,0,0,0,3794,0,0,,0,0,0,0,0,5
47,2021,Melbourne (CBD),,0,0,0,184,0,,0,0,0,7464,0,,0,0,0,,,0,0,0,138,0,0,0,0,0,0,7851,0,0,0,0,,0,0,0,
51,2021,Melbourne (CBD),,0,0,103,89,0,,0,0,0,1326,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,,0,1574,0,0,0,0,0,0,0,0,0
53,2021,Melbourne (CBD),96,0,0,18,146,0,53,0,0,0,5846,0,,0,0,0,0,0,0,,0,67,0,0,0,0,,0,6226,0,0,0,0,0,0,0,0,0
56,2021,Melbourne (CBD),0,0,0,238,460,,0,0,0,0,654,0,,0,,0,,,0,0,0,470,0,,0,0,0,0,1831,0,0,0,0,,0,0,0,
57,2021,Melbourne (CBD),,0,0,,579,0,19,0,0,0,413,0,,0,0,0,,,0,,0,148,0,,0,0,0,0,1200,0,0,0,0,,0,0,0,
61,2021,Melbourne (CBD),,0,0,,379,0,,0,0,0,27,0,0,0,0,0,,,0,0,0,81,0,0,0,0,,0,588,0,0,0,0,0,0,0,0,0
62,2021,Melbourne (CBD),,0,0,,211,0,,0,0,0,1875,,,0,0,0,0,0,0,0,0,20,0,0,0,0,,0,2178,0,0,0,0,0,0,0,0,0
66,2021,Melbourne (CBD),,0,0,57,580,,,0,0,0,105,,,0,,0,4,,0,0,0,235,0,0,0,0,0,0,1013,0,0,,0,0,0,0,0,0
68,2021,Melbourne (CBD),46,0,0,,172,,,0,0,0,1832,0,,0,0,,,0,0,0,0,72,0,0,0,0,,,2249,0,0,0,0,0,0,0,0,0
72,2021,Melbourne (CBD),0,0,0,,130,0,0,0,,0,765,0,,0,0,0,,0,0,0,0,47,0,0,0,0,0,0,1200,0,0,,,0,0,0,0,0
74,2021,Melbourne (CBD),,0,,47,293,0,,0,0,0,814,0,0,0,0,0,,0,0,0,0,95,0,0,0,0,0,,1386,0,0,,0,0,0,0,0,9
77,2021,Melbourne (CBD),,0,0,116,106,0,,0,0,0,1423,0,0,0,0,0,,0,,,0,8,0,,0,0,,0,1735,0,0,,,0,0,0,0,0
81,2021,Melbourne (CBD),,0,0,366,39,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,462,0,0,,0,0,0,,0,0
84,2021,Melbourne (CBD),,0,0,,108,0,0,0,0,0,545,0,0,0,0,0,,0,0,0,0,59,0,0,0,0,0,0,759,0,0,,0,,0,0,0,0
88,2021,Melbourne (CBD),0,0,0,0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,,0,0,0,0,0,0
95,2021,Melbourne (CBD),,0,0,199,207,0,27,,0,0,94,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0,0,,635,0,0,0,0,0,0,0,0,0
97,2021,Melbourne (CBD),,0,0,,39,0,0,0,0,0,220,,,0,0,0,,0,0,0,0,15,0,0,0,0,,,343,0,0,0,0,0,0,0,0,0
104,2021,Melbourne (CBD),,0,0,57,107,0,0,,0,0,28,0,,0,0,0,0,0,0,0,0,71,,0,0,0,0,7,319,0,0,0,0,,0,0,0,0
111,2021,West Melbourne (Residential),,0,,0,0,,0,0,0,0,112,0,0,0,0,0,,0,,0,0,,0,0,0,0,0,0,185,0,0,,0,0,,0,0,
113,2021,Melbourne (CBD),0,0,,0,63,,0,0,0,0,10,0,0,,0,0,0,0,0,0,0,99,0,724,0,0,71,0,969,0,0,0,0,0,0,0,0,0
114,2021,Melbourne (CBD),,0,0,,144,0,0,,0,0,47,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,299,0,0,,0,0,,0,0,0
